TXN_ID,DATE,MINISTRY_CODE,MINISTRY_NAME,ACCOUNT_CODE,DESCRIPTION,VENDOR,AMOUNT_KES,PAYMENT_METHOD
KE-2400023,08/05/2024,MOF,Ministry of Finance,2211511,Printing and stationery,TechnoServ Africa,130712.91,BANK_TRANSFER
KE-2400024,22/04/2024,MOI,Ministry of Interior,2210201,communication supplies,MediPlus Distributors,116263.11,CHEQUE
KE-2400025,13/06/2024,MOH,Ministry of Health,3110101,Construction of buildings - health facilities,Regional Bank Services,6468.38,CHEQUE
KE-2400026,22/05/2024,MOH,Ministry of Health,2211320,Cervical cancer screening,Care Foundation,255311.9,CHEQUE
KE-2400027,04/08/2023,MOE,Ministry of Education,2211511,Printing and stationery,Modern Office Systems,13743.29,CHEQUE
KE-2400028,21/04/2024,MOFA,Ministry of Family Affairs,2211110,Maternity supplies and delivery kits,MediPlus Distributors,,BANK_TRANSFER
KE-2400029,18/11/2023,MOI,Ministry of Interior,2211306,Antenatal outreach services,MedSupplies Ltd,120251.03,CHEQUE
KE-2400030,25/06/2024,MOE,Ministry of Education,2211511,Printing and stationery,MediPlus Distributors,2036.83,MOBILE_MONEY
KE-2400031,05/09/2023,MOE,Ministry of Education,2211305,Immunisation outreach,United Diagnostics,29348.08,BANK_TRANSFER
KE-2400032,09/07/2023,MOF,Ministry of Finance,3110101,Construction of buildings - health facilities,NextGen IT,591089.57,CHEQUE
KE-2400033,19/12/2023,MOH,Ministry of Health,2211407,Cleaning and fumigation - health facilities,GreenLeaf Consultancy,-962.97,MOBILE_MONEY
KE-2400034,28/09/2023,MOI,Ministry of Interior,2211103,vaccines,Public Health Institute,16142.62,BANK_TRANSFER
KE-2400035,13/11/2023,MOI,Ministry of Interior,2211103,vaccines,Public Health Institute,1749837.13,BANK_TRANSFER
KE-2400036,23/07/2023,MOF,Ministry of Finance,2211201,Laboratory reagents,PharmaWest Africa,5937.61,CHEQUE
KE-2400037,02/01/2024,MOE,Ministry of Education,2211305,Immunisation outreach,SafeWater Kenya,-6037.55,BANK_TRANSFER
KE-2400038,23/04/2024,MOF,Ministry of Finance,2110101,Basic salaries - permanent employees,SafeWater Kenya,139393.94,CHEQUE
KE-2400039,14/01/2024,MOE,Ministry of Education,2211308,Youth SRH counselling services,Vitalis Pharma,82935.88,CHEQUE
KE-2400040,02/02/2024,MOFA,Ministry of Family Affairs,2211501,Refined fuels,United Diagnostics,,MOBILE_MONEY
KE-2400041,13/06/2024,MOF,Ministry of Finance,2211103,Vaccines,Nile Motors,584829.56,CHEQUE
KE-2400042,27/03/2024,MOH,Ministry of Health,2211511,Printing and stationery,PharmaWest Africa,-3494.56,BANK_TRANSFER
KE-2400043,03/01/2024,MOF,Ministry of Finance,2211306,Antenatal outreach services,Nile Motors,461154.08,BANK_TRANSFER
KE-2400044,21/10/2023,MOH,Ministry of Health,2210301,Domestic travel,PharmaWest Africa,770515.44,MOBILE_MONEY
KE-2400045,12/11/2023,MOE,Ministry of Education,2211101,Medical drugs,BuildRight Contractors,879042.46,MOBILE_MONEY
KE-2400046,07/11/2023,MOH,Ministry of Health,3110101,Construction of buildings - health facilities,Vitalis Pharma,1409984.47,CHEQUE
KE-2400047,05/06/2024,MOF,Ministry of Finance,3110101,Construction of buildings - health facilities,TechnoServ Africa,803068.52,BANK_TRANSFER
KE-2400048,18/09/2023,MOE,Ministry of Education,2110101,basic salaries - permanent employees,Sunrise Cleaning Services,1754685.96,CHEQUE
KE-2400049,28/11/2023,MOF,Ministry of Finance,2211511,Printing and stationery,Care Foundation,22908.0,CHEQUE
KE-2400050,17/07/2023,MOI,Ministry of Interior,2211308,Youth SRH counselling services,BuildRight Contractors,1996.28,CHEQUE
KE-2400051,21/01/2024,MOE,Ministry of Education,2210301,Domestic travel,SafeWater Kenya,217259.91,BANK_TRANSFER
KE-2400052,09/03/2024,MOE,Ministry of Education,2211407,Cleaning and fumigation - health facilities,Sunrise Cleaning Services,335636.54,CHEQUE
KE-2400053,23/01/2024,MOE,Ministry of Education,2211306,Antenatal outreach services,Regional Bank Services,12776.56,MOBILE_MONEY
KE-2400054,13/05/2024,MOH,Ministry of Health,2211102,Contraceptives and family planning commodities,MediPlus Distributors,1181.19,BANK_TRANSFER
KE-2400055,05/07/2023,MOI,Ministry of Interior,2211308,Youth SRH counselling services,Regional Bank Services,28176.17,CHEQUE
KE-2400056,23/12/2023,MOH,Ministry of Health,2211305,Immunisation outreach,SafeWater Kenya,7711.17,BANK_TRANSFER
KE-2400057,29/02/2024,MOFA,Ministry of Family Affairs,2211102,Contraceptives and family planning commodities,GreenLeaf Consultancy,19072.88,CHEQUE
KE-2400058,14/01/2024,MOFA,Ministry of Family Affairs,2211305,Immunisation outreach,United Diagnostics,622134.38,BANK_TRANSFER
KE-2400059,26/11/2023,MOH,Ministry of Health,3110701,Purchase of vehicles - ambulances,TechnoServ Africa,3741.48,CHEQUE
KE-2400060,23/06/2024,MOH,Ministry of Health,2211320,Cervical cancer screening,TransAfrica Logistics,4457.32,BANK_TRANSFER
KE-2400061,05/01/2024,MOH,Ministry of Health,2211199,General medical consumables,Modern Office Systems,27487.56,CHEQUE
KE-2400062,03/10/2023,MOI,Ministry of Interior,2211511,Printing and stationery,MediPlus Distributors,86059.65,BANK_TRANSFER
KE-2400063,24/04/2024,MOE,Ministry of Education,2210301,Domestic travel,United Diagnostics,23902.99,BANK_TRANSFER
KE-2400064,17/10/2023,MOH,Ministry of Health,2211511,Printing and stationery,Sunrise Cleaning Services,129702.47,BANK_TRANSFER
KE-2400065,30/09/2023,MOH,Ministry of Health,2211320,Cervical cancer screening,NextGen IT,29543.99,MOBILE_MONEY
KE-2400066,13/06/2024,MOF,Ministry of Finance,2211199,General medical consumables,SafeWater Kenya,8731.3,BANK_TRANSFER
KE-2400067,09/03/2024,MOFA,Ministry of Family Affairs,2211305,Immunisation outreach,BuildRight Contractors,634806.27,MOBILE_MONEY
KE-2400068,10/02/2024,MOH,Ministry of Health,2211102,Contraceptives and family planning commodities,Sunrise Cleaning Services,1446.38,MOBILE_MONEY
KE-2400069,21/07/2023,MOFA,Ministry of Family Affairs,2211404,SGBV survivor support services,TechnoServ Africa,7146.64,MOBILE_MONEY
KE-2400070,04/11/2023,MOF,Ministry of Finance,2110101,Basic salaries - permanent employees,BuildRight Contractors,648272.3,BANK_TRANSFER
KE-2400071,10/02/2024,MOH,Ministry of Health,2211103,Vaccines,NextGen IT,1156.57,MOBILE_MONEY
KE-2400072,28/01/2024,MOFA,Ministry of Family Affairs,2211305,Immunisation outreach,PharmaWest Africa,15432.79,BANK_TRANSFER
KE-2400073,01/01/2024,MOE,Ministry of Education,2110101,basic salaries - permanent employees,MedSupplies Ltd,538360.87,CHEQUE
KE-2400074,22/02/2024,MOF,Ministry of Finance,3110701,Purchase of vehicles - ambulances,Care Foundation,961634.66,BANK_TRANSFER
KE-2400075,03/06/2024,MOI,Ministry of Interior,2210301,Domestic travel,United Diagnostics,8674.37,CHEQUE
KE-2400076,21/02/2024,MOE,Ministry of Education,2211308,Youth SRH counselling services,Care Foundation,2296.28,CHEQUE
KE-2400077,17/05/2024,MOE,Ministry of Education,2211102,CONTRACEPTIVES AND FAMILY PLANNING COMMODITIES,GreenLeaf Consultancy,270752.23,MOBILE_MONEY
KE-2400078,19/02/2024,MOF,Ministry of Finance,2211407,Cleaning and fumigation - health facilities,Nile Motors,138336.13,BANK_TRANSFER
KE-2400079,01/08/2023,MOFA,Ministry of Family Affairs,2110101,Basic salaries - permanent employees,Vitalis Pharma,32634.6,CHEQUE
KE-2400080,09/07/2023,MOE,Ministry of Education,2211201,Laboratory reagents,MediPlus Distributors,823171.68,MOBILE_MONEY
KE-2400081,19/01/2024,MOH,Ministry of Health,2211201,Laboratory reagents,Highlands Print Works,123666.06,CHEQUE
KE-2400082,20/10/2023,MOFA,Ministry of Family Affairs,2211511,printing and stationery,TechnoServ Africa,85977.35,CHEQUE
KE-2400083,24/08/2023,MOH,Ministry of Health,2211511,Printing and stationery,MediPlus Distributors,733258.32,CHEQUE
KE-2400084,18/10/2023,MOI,Ministry of Interior,2211105,HIV test kits and ARVs,MedSupplies Ltd,656949.42,CHEQUE
KE-2400085,19/03/2024,MOF,Ministry of Finance,2210201,Communication supplies,TransAfrica Logistics,2055.44,CHEQUE
KE-2400086,19/10/2023,MOH,Ministry of Health,2210201,Communication supplies,MedSupplies Ltd,673360.78,CHEQUE
KE-2400087,24/06/2024,MOI,Ministry of Interior,2211407,Cleaning and fumigation - health facilities,Sunrise Cleaning Services,1967539.49,MOBILE_MONEY
KE-2400088,25/12/2023,MOH,Ministry of Health,2211305,Immunisation outreach,GreenLeaf Consultancy,21846.04,BANK_TRANSFER
KE-2400089,19/11/2023,MOF,Ministry of Finance,3110701,Purchase of vehicles - ambulances,PharmaWest Africa,911.55,BANK_TRANSFER
KE-2400090,08/11/2023,MOE,Ministry of Education,2211308,Youth SRH counselling services,Sunrise Cleaning Services,35575.06,MOBILE_MONEY
KE-2400091,13/01/2024,MOH,Ministry of Health,2211407,CLEANING AND FUMIGATION - HEALTH FACILITIES,Modern Office Systems,1913.45,MOBILE_MONEY
KE-2400092,02/09/2023,MOE,Ministry of Education,2211103,Vaccines,Highlands Print Works,2024.63,MOBILE_MONEY
KE-2400093,07/05/2024,MOI,Ministry of Interior,2211308,Youth SRH counselling services,MediPlus Distributors,5956.34,MOBILE_MONEY
KE-2400094,23/07/2023,MOE,Ministry of Education,2110101,Basic salaries - permanent employees,Vitalis Pharma,64406.04,BANK_TRANSFER
KE-2400095,04/02/2024,MOF,Ministry of Finance,2211199,General medical consumables,United Diagnostics,133439.04,CHEQUE
KE-2400096,02/07/2023,MOF,Ministry of Finance,2211102,Contraceptives and family planning commodities,BuildRight Contractors,3849.25,MOBILE_MONEY
KE-2400097,13/10/2023,MOFA,Ministry of Family Affairs,2211101,Medical drugs,Regional Bank Services,1017351.58,MOBILE_MONEY
KE-2400098,04/05/2024,MOI,Ministry of Interior,2211105,HIV test kits and ARVs,PharmaWest Africa,441142.32,CHEQUE
KE-2400099,15/11/2023,MOE,Ministry of Education,2211306,ANTENATAL OUTREACH SERVICES,MedSupplies Ltd,-291548.26,CHEQUE
KE-2400100,05/04/2024,MOE,Ministry of Education,2211308,Youth SRH counselling services,GreenLeaf Consultancy,1324029.7,BANK_TRANSFER
KE-2400101,14/02/2024,MOE,Ministry of Education,2211306,Antenatal outreach services,Vitalis Pharma,1612637.64,CHEQUE
KE-2400102,16/10/2023,MOE,Ministry of Education,3110701,Purchase of vehicles - ambulances,Nile Motors,129391.94,CHEQUE
KE-2400103,03/08/2023,MOFA,Ministry of Family Affairs,2211110,Maternity supplies and delivery kits,United Diagnostics,317952.42,BANK_TRANSFER
KE-2400104,08/05/2024,MOFA,Ministry of Family Affairs,2211102,Contraceptives and family planning commodities,SafeWater Kenya,53414.39,CHEQUE
KE-2400105,17/06/2024,MOH,Ministry of Health,2211110,Maternity supplies and delivery kits,TransAfrica Logistics,70897.02,MOBILE_MONEY
KE-2400106,06/06/2024,MOF,Ministry of Finance,2211101,Medical drugs,Vitalis Pharma,6803.89,CHEQUE
KE-2400107,09/06/2024,MOI,Ministry of Interior,2211407,Cleaning and fumigation - health facilities,BuildRight Contractors,5635.69,CHEQUE
KE-2400108,19/01/2024,MOI,Ministry of Interior,2211501,REFINED FUELS,SafeWater Kenya,140514.85,CHEQUE
KE-2400109,24/03/2024,MOF,Ministry of Finance,2110101,Basic salaries - permanent employees,Regional Bank Services,746062.6,BANK_TRANSFER
KE-2400110,06/05/2024,MOF,Ministry of Finance,3110101,Construction of buildings - health facilities,BuildRight Contractors,124749.13,BANK_TRANSFER
KE-2400111,07/03/2024,MOF,Ministry of Finance,2211501,Refined fuels,Vitalis Pharma,159844.75,CHEQUE
KE-2400112,05/08/2023,MOH,Ministry of Health,2211110,Maternity supplies and delivery kits,Modern Office Systems,4123.72,BANK_TRANSFER
KE-2400113,06/09/2023,MOFA,Ministry of Family Affairs,2211308,Youth SRH counselling services,Regional Bank Services,647188.52,CHEQUE
KE-2400114,14/07/2023,MOFA,Ministry of Family Affairs,2211501,Refined fuels,United Diagnostics,1541.8,CHEQUE
KE-2400115,05/03/2024,MOH,Ministry of Health,2211105,HIV test kits and ARVs,Nile Motors,1810.19,CHEQUE
KE-2400116,28/08/2023,MOH,Ministry of Health,2211308,youth srh counselling services,Care Foundation,2546.75,MOBILE_MONEY
KE-2400117,07/05/2024,MOFA,Ministry of Family Affairs,2210201,Communication supplies,PharmaWest Africa,2000976.36,MOBILE_MONEY
KE-2400118,27/12/2023,MOI,Ministry of Interior,2211511,Printing and stationery,Highlands Print Works,987.11,MOBILE_MONEY
KE-2400119,07/10/2023,MOF,Ministry of Finance,2211110,Maternity supplies and delivery kits,SafeWater Kenya,4443.55,BANK_TRANSFER
KE-2400120,02/02/2024,MOE,Ministry of Education,2211102,CONTRACEPTIVES AND FAMILY PLANNING COMMODITIES,Vitalis Pharma,8634.57,MOBILE_MONEY
KE-2400121,29/04/2024,MOI,Ministry of Interior,2211511,Printing and stationery,Vitalis Pharma,33052.06,CHEQUE
KE-2400122,13/10/2023,MOI,Ministry of Interior,2110101,basic salaries - permanent employees,GreenLeaf Consultancy,1012162.74,BANK_TRANSFER
KE-2400123,03/06/2024,MOFA,Ministry of Family Affairs,2211511,printing and stationery,Public Health Institute,791787.94,CHEQUE
KE-2400124,10/01/2024,MOF,Ministry of Finance,2211101,Medical drugs,Care Foundation,795126.46,MOBILE_MONEY
KE-2400125,02/12/2023,MOF,Ministry of Finance,2211404,SGBV SURVIVOR SUPPORT SERVICES,Vitalis Pharma,2696.77,BANK_TRANSFER
KE-2400126,08/04/2024,MOF,Ministry of Finance,2211201,Laboratory reagents,NextGen IT,-34187.5,MOBILE_MONEY
KE-2400127,10/10/2023,MOF,Ministry of Finance,2110101,basic salaries - permanent employees,Modern Office Systems,2266.21,BANK_TRANSFER
KE-2400128,13/03/2024,MOFA,Ministry of Family Affairs,2210201,Communication supplies,Care Foundation,97167.37,CHEQUE
KE-2400129,01/01/2024,MOH,Ministry of Health,2211308,Youth SRH counselling services,United Diagnostics,1328327.81,CHEQUE
KE-2400130,18/06/2024,MOE,Ministry of Education,2211511,Printing and stationery,TechnoServ Africa,166482.18,BANK_TRANSFER
KE-2400131,10/01/2024,MOFA,Ministry of Family Affairs,2211407,cleaning and fumigation - health facilities,Modern Office Systems,8081.19,BANK_TRANSFER
KE-2400132,06/09/2023,MOE,Ministry of Education,2211404,SGBV survivor support services,Nile Motors,20538.44,CHEQUE
KE-2400133,03/01/2024,MOFA,Ministry of Family Affairs,2210301,Domestic travel,MedSupplies Ltd,61173.87,BANK_TRANSFER
KE-2400134,03/01/2024,MOI,Ministry of Interior,3110101,Construction of buildings - health facilities,Care Foundation,2071684.31,CHEQUE
KE-2400135,25/10/2023,MOH,Ministry of Health,2211201,Laboratory reagents,TransAfrica Logistics,7120.27,BANK_TRANSFER
KE-2400136,25/09/2023,MOFA,Ministry of Family Affairs,2211110,Maternity supplies and delivery kits,Vitalis Pharma,65720.66,CHEQUE
KE-2400137,07/01/2024,MOF,Ministry of Finance,2211201,Laboratory reagents,United Diagnostics,824713.96,CHEQUE
KE-2400138,06/03/2024,MOF,Ministry of Finance,2211105,HIV test kits and ARVs,TechnoServ Africa,1233878.66,BANK_TRANSFER
KE-2400139,12/06/2024,MOH,Ministry of Health,2211103,Vaccines,Public Health Institute,1415.05,CHEQUE
KE-2400140,03/05/2024,MOE,Ministry of Education,2211511,Printing and stationery,Vitalis Pharma,751533.66,BANK_TRANSFER
KE-2400141,18/06/2024,MOH,Ministry of Health,2211201,Laboratory reagents,NextGen IT,8080.36,CHEQUE
KE-2400142,21/12/2023,MOI,Ministry of Interior,2211103,Vaccines,Care Foundation,85939.46,MOBILE_MONEY
KE-2400143,06/09/2023,MOF,Ministry of Finance,2211308,Youth SRH counselling services,PharmaWest Africa,1801315.38,CHEQUE
KE-2400144,20/12/2023,MOE,Ministry of Education,2210301,Domestic travel,Highlands Print Works,23410.08,BANK_TRANSFER
KE-2400145,02/12/2023,MOF,Ministry of Finance,2211199,General medical consumables,TransAfrica Logistics,321742.34,BANK_TRANSFER
KE-2400146,17/08/2023,MOE,Ministry of Education,3110101,Construction of buildings - health facilities,Regional Bank Services,1328.8,BANK_TRANSFER
KE-2400147,07/12/2023,MOI,Ministry of Interior,2211305,Immunisation outreach,MediPlus Distributors,58959.16,CHEQUE
KE-2400148,03/01/2024,MOFA,Ministry of Family Affairs,2211199,general medical consumables,United Diagnostics,1206.04,MOBILE_MONEY
KE-2400149,21/10/2023,MOF,Ministry of Finance,2211407,Cleaning and fumigation - health facilities,Modern Office Systems,1297633.5,BANK_TRANSFER
KE-2400150,28/11/2023,MOE,Ministry of Education,2211501,Refined fuels,MedSupplies Ltd,2031881.93,MOBILE_MONEY
KE-2400151,11/11/2023,MOE,Ministry of Education,2210201,Communication supplies,Sunrise Cleaning Services,17869.71,MOBILE_MONEY
KE-2400152,28/09/2023,MOF,Ministry of Finance,2211404,SGBV survivor support services,MediPlus Distributors,29205.75,MOBILE_MONEY
KE-2400153,16/04/2024,MOH,Ministry of Health,2211201,Laboratory reagents,GreenLeaf Consultancy,4548.47,CHEQUE
KE-2400154,28/01/2024,MOF,Ministry of Finance,2110101,Basic salaries - permanent employees,Regional Bank Services,934.46,CHEQUE
KE-2400155,30/11/2023,MOE,Ministry of Education,2211306,Antenatal outreach services,MediPlus Distributors,847085.66,CHEQUE
KE-2400156,02/11/2023,MOI,Ministry of Interior,2210201,Communication supplies,TechnoServ Africa,1480119.73,BANK_TRANSFER
KE-2400157,17/08/2023,MOF,Ministry of Finance,2211201,Laboratory reagents,NextGen IT,1459982.81,BANK_TRANSFER
KE-2400158,16/12/2023,MOI,Ministry of Interior,2211407,Cleaning and fumigation - health facilities,TransAfrica Logistics,18027.12,MOBILE_MONEY
KE-2400159,28/02/2024,MOE,Ministry of Education,2211101,Medical drugs,TransAfrica Logistics,1601261.51,BANK_TRANSFER
KE-2400160,02/04/2024,MOH,Ministry of Health,3110101,Construction of buildings - health facilities,Regional Bank Services,1192128.0,MOBILE_MONEY
KE-2400161,20/12/2023,MOI,Ministry of Interior,2211103,Vaccines,Regional Bank Services,4219.03,CHEQUE
KE-2400162,06/01/2024,MOFA,Ministry of Family Affairs,3110701,purchase of vehicles - ambulances,Regional Bank Services,8096.21,BANK_TRANSFER
KE-2400163,15/01/2024,MOF,Ministry of Finance,2211103,Vaccines,Care Foundation,53434.87,BANK_TRANSFER
KE-2400164,20/09/2023,MOFA,Ministry of Family Affairs,2210201,Communication supplies,Modern Office Systems,1181.99,BANK_TRANSFER
KE-2400165,24/03/2024,MOH,Ministry of Health,2211101,Medical drugs,Regional Bank Services,1361408.76,CHEQUE
KE-2400166,15/05/2024,MOE,Ministry of Education,2110101,Basic salaries - permanent employees,TechnoServ Africa,258585.79,MOBILE_MONEY
KE-2400167,04/04/2024,MOI,Ministry of Interior,2211103,Vaccines,TransAfrica Logistics,611932.7,MOBILE_MONEY
KE-2400168,11/03/2024,MOI,Ministry of Interior,2211320,Cervical cancer screening,MedSupplies Ltd,1552756.14,BANK_TRANSFER
KE-2400169,14/01/2024,MOFA,Ministry of Family Affairs,2211305,Immunisation outreach,Care Foundation,352540.74,BANK_TRANSFER
KE-2400170,20/09/2023,MOI,Ministry of Interior,2211199,General medical consumables,PharmaWest Africa,138116.54,BANK_TRANSFER
KE-2400171,10/02/2024,MOI,Ministry of Interior,2210301,Domestic travel,NextGen IT,14400.33,MOBILE_MONEY
KE-2400172,18/01/2024,MOFA,Ministry of Family Affairs,2211511,Printing and stationery,MediPlus Distributors,69434.79,MOBILE_MONEY
KE-2400173,27/11/2023,MOH,Ministry of Health,2211103,Vaccines,Care Foundation,478970.05,BANK_TRANSFER
KE-2400174,15/09/2023,MOF,Ministry of Finance,2211102,Contraceptives and family planning commodities,MediPlus Distributors,20353.14,MOBILE_MONEY
KE-2400175,11/01/2024,MOH,Ministry of Health,3110101,Construction of buildings - health facilities,Highlands Print Works,12710.84,CHEQUE
KE-2400176,30/05/2024,MOFA,Ministry of Family Affairs,2211105,HIV test kits and ARVs,BuildRight Contractors,22779.02,MOBILE_MONEY
KE-2400177,15/05/2024,MOF,Ministry of Finance,2211101,Medical drugs,Sunrise Cleaning Services,1488865.58,CHEQUE
KE-2400178,19/05/2024,MOF,Ministry of Finance,2110101,Basic salaries - permanent employees,TechnoServ Africa,823963.72,CHEQUE
KE-2400179,03/06/2024,MOFA,Ministry of Family Affairs,2211101,Medical drugs,United Diagnostics,1427.58,CHEQUE
KE-2400180,28/01/2024,MOFA,Ministry of Family Affairs,2211103,Vaccines,MediPlus Distributors,2616.14,MOBILE_MONEY
KE-2400181,18/05/2024,MOI,Ministry of Interior,2211110,Maternity supplies and delivery kits,TechnoServ Africa,4905.67,CHEQUE
KE-2400182,04/07/2023,MOH,Ministry of Health,2211501,Refined fuels,Modern Office Systems,784812.04,CHEQUE
KE-2400183,03/02/2024,MOFA,Ministry of Family Affairs,2211305,Immunisation outreach,MedSupplies Ltd,"""29,998.63""",MOBILE_MONEY
KE-2400184,30/04/2024,MOH,Ministry of Health,2210201,Communication supplies,NextGen IT,,BANK_TRANSFER
KE-2400185,09/12/2023,MOH,Ministry of Health,2211407,Cleaning and fumigation - health facilities,Public Health Institute,17782.56,CHEQUE
KE-2400186,13/01/2024,MOFA,Ministry of Family Affairs,2211501,Refined fuels,Vitalis Pharma,12235.61,CHEQUE
KE-2400187,16/01/2024,MOI,Ministry of Interior,2211306,Antenatal outreach services,TechnoServ Africa,29778.2,BANK_TRANSFER
KE-2400188,12/02/2024,MOH,Ministry of Health,2211101,Medical drugs,GreenLeaf Consultancy,,CHEQUE
KE-2400189,24/12/2023,MOFA,Ministry of Family Affairs,2211407,CLEANING AND FUMIGATION - HEALTH FACILITIES,MediPlus Distributors,260914.36,MOBILE_MONEY
KE-2400190,14/07/2023,MOI,Ministry of Interior,2211199,general medical consumables,Modern Office Systems,477748.46,MOBILE_MONEY
KE-2400191,05/07/2023,MOI,Ministry of Interior,2211103,Vaccines,Public Health Institute,19652.44,BANK_TRANSFER
KE-2400192,13/04/2024,MOE,Ministry of Education,2211110,Maternity supplies and delivery kits,Modern Office Systems,919372.34,BANK_TRANSFER
KE-2400193,10/09/2023,MOFA,Ministry of Family Affairs,2210301,Domestic travel,Nile Motors,22461.45,BANK_TRANSFER
KE-2400194,08/08/2023,MOFA,Ministry of Family Affairs,3110101,Construction of buildings - health facilities,United Diagnostics,129189.44,MOBILE_MONEY
KE-2400195,21/12/2023,MOFA,Ministry of Family Affairs,2211103,Vaccines,Care Foundation,1542.63,MOBILE_MONEY
KE-2400196,27/07/2023,MOFA,Ministry of Family Affairs,2211105,HIV test kits and ARVs,BuildRight Contractors,2688.39,MOBILE_MONEY
KE-2400197,23/02/2024,MOH,Ministry of Health,2211199,General medical consumables,Vitalis Pharma,400494.91,BANK_TRANSFER
KE-2400198,04/12/2023,MOF,Ministry of Finance,2211407,Cleaning and fumigation - health facilities,Public Health Institute,5775.91,BANK_TRANSFER
KE-2400199,04/10/2023,MOH,Ministry of Health,2211103,vaccines,NextGen IT,328197.23,BANK_TRANSFER
KE-2400200,17/04/2024,MOF,Ministry of Finance,2211103,Vaccines,United Diagnostics,1482856.12,CHEQUE
KE-2400201,02/06/2024,MOFA,Ministry of Family Affairs,2211308,Youth SRH counselling services,NextGen IT,1519010.5,BANK_TRANSFER
KE-2400202,29/07/2023,MOF,Ministry of Finance,2110101,Basic salaries - permanent employees,Public Health Institute,1994670.96,CHEQUE
KE-2400203,23/07/2023,MOF,Ministry of Finance,2211404,SGBV survivor support services,SafeWater Kenya,8901.76,CHEQUE
KE-2400204,27/10/2023,MOH,Ministry of Health,2211201,Laboratory reagents,BuildRight Contractors,22661.7,MOBILE_MONEY
KE-2400205,11/05/2024,MOE,Ministry of Education,2211308,Youth SRH counselling services,TechnoServ Africa,605792.35,BANK_TRANSFER
KE-2400206,03/12/2023,MOH,Ministry of Health,2211105,hiv test kits and arvs,Highlands Print Works,254661.14,CHEQUE
KE-2400207,29/05/2024,MOI,Ministry of Interior,2211103,Vaccines,Nile Motors,108474.47,BANK_TRANSFER
KE-2400208,06/11/2023,MOH,Ministry of Health,2211308,Youth SRH counselling services,SafeWater Kenya,122779.93,BANK_TRANSFER
KE-2400209,27/05/2024,MOFA,Ministry of Family Affairs,2211511,Printing and stationery,Sunrise Cleaning Services,33348.81,MOBILE_MONEY
